iter	Passed	Remaining
0	0	992
1	1	807
2	2	719
3	2	686
4	3	666
5	4	677
6	4	638
7	4	618
8	5	617
9	6	604
10	6	580
11	6	572
12	7	564
13	7	559
14	8	554
15	8	548
16	9	542
17	9	534
18	10	532
19	10	529
20	11	524
21	11	521
22	12	511
23	12	508
24	12	503
25	13	501
26	13	500
27	14	500
28	14	496
29	15	496
30	15	490
31	16	490
32	16	492
33	17	498
34	18	501
35	18	499
36	18	493
37	19	492
38	20	499
39	21	505
40	21	506
41	22	505
42	22	502
43	23	501
44	23	503
45	24	503
46	24	504
47	25	501
48	25	500
49	26	498
50	26	497
51	27	499
52	27	496
53	28	495
54	28	493
55	29	489
56	29	487
57	29	486
58	30	484
59	30	484
60	31	484
61	31	483
62	32	483
63	32	482
64	33	481
65	33	480
66	34	480
67	34	479
68	35	477
69	35	475
70	36	474
71	36	473
72	37	472
73	37	471
74	37	468
75	38	467
76	38	466
77	39	465
78	39	461
79	39	458
80	40	457
81	40	457
82	41	456
83	41	456
84	42	457
85	43	457
86	44	466
87	45	466
88	45	465
89	46	465
90	46	463
91	46	461
92	47	460
93	47	459
94	48	458
95	48	456
96	49	456
97	49	455
98	49	454
99	50	453
100	50	451
101	51	450
102	51	449
103	52	448
104	52	447
105	52	445
106	53	444
107	53	443
108	54	442
109	54	441
110	55	442
111	55	442
112	56	441
113	56	440
114	57	439
115	57	438
116	57	436
117	58	435
118	58	434
119	59	433
120	59	432
121	60	431
122	60	431
123	61	431
124	61	430
125	61	429
126	62	429
127	62	428
128	63	428
129	63	428
130	64	427
131	65	427
132	65	426
133	65	425
134	66	425
135	66	424
136	67	423
137	67	424
138	68	424
139	69	425
140	69	425
141	70	424
142	70	424
143	71	424
144	71	423
145	72	423
146	72	422
147	73	422
148	73	421
149	74	421
150	74	420
151	75	419
152	75	419
153	76	418
154	76	417
155	77	416
156	77	415
157	77	413
158	78	413
159	78	412
160	79	412
161	79	411
162	79	410
163	80	409
164	80	408
165	81	407
166	81	406
167	82	406
168	82	406
169	83	406
170	83	405
171	84	404
172	84	404
173	85	403
174	85	403
175	85	402
176	86	401
177	86	400
178	87	400
179	87	399
180	88	398
181	88	397
182	88	397
183	89	396
184	89	395
185	90	394
186	90	393
187	90	392
188	91	392
189	91	391
190	92	390
191	92	390
192	93	389
193	93	388
194	93	387
195	94	387
196	94	386
197	95	385
198	95	385
199	96	384
200	96	385
201	97	384
202	97	384
203	98	384
204	98	383
205	99	383
206	99	382
207	100	382
208	100	381
209	101	380
210	101	380
211	102	379
212	102	378
213	103	378
214	103	378
215	104	377
216	104	376
217	104	376
218	105	375
219	105	374
220	106	374
221	106	373
222	106	372
223	107	372
224	107	371
225	108	370
226	108	370
227	109	369
228	109	369
229	110	369
230	110	368
231	111	368
232	111	368
233	112	367
234	112	367
235	113	366
236	113	366
237	114	365
238	114	364
239	114	363
240	115	363
241	115	362
242	116	362
243	116	361
244	117	360
245	117	360
246	117	359
247	118	358
248	118	358
249	119	357
250	119	356
251	120	356
252	120	355
253	120	355
254	121	354
255	121	354
256	122	353
257	122	353
258	123	352
259	123	352
260	124	352
261	124	351
262	125	351
263	125	350
264	126	349
265	126	349
266	127	348
267	127	348
268	127	347
269	128	346
270	128	346
271	129	345
272	129	344
273	129	344
274	130	343
275	130	343
276	131	342
277	131	341
278	132	341
279	132	340
280	132	339
281	133	339
282	133	338
283	134	338
284	134	337
285	134	336
286	135	336
287	135	335
288	136	335
289	136	334
290	137	334
291	137	334
292	138	333
293	138	333
294	139	332
295	139	332
296	140	331
297	140	330
298	140	330
299	141	329
300	141	329
301	142	328
302	142	328
303	143	327
304	143	326
305	143	326
306	144	325
307	144	325
308	145	324
309	145	324
310	146	323
311	146	322
312	146	322
313	147	321
314	147	321
315	148	320
316	148	320
317	149	319
318	149	319
319	149	318
320	150	318
321	151	317
322	151	317
323	152	317
324	152	316
325	152	316
326	153	315
327	153	315
328	154	314
329	154	314
330	155	313
331	155	312
332	155	312
333	156	311
334	156	311
335	157	310
336	157	310
337	158	309
338	158	308
339	158	308
340	159	307
341	159	307
342	160	306
343	160	305
344	160	305
345	161	304
346	161	304
347	162	303
348	162	303
349	163	302
350	163	302
351	164	302
352	164	301
353	165	301
354	165	300
355	166	300
356	166	299
357	166	299
358	167	298
359	167	298
360	168	297
361	168	296
362	168	296
363	169	295
364	169	295
365	170	294
366	170	294
367	171	293
368	171	293
369	171	292
370	172	292
371	172	291
372	173	291
373	173	290
374	173	289
375	174	289
376	174	288
377	175	288
378	175	287
379	176	287
380	176	286
381	177	286
382	177	286
383	178	286
384	178	285
385	179	285
386	179	284
387	180	284
388	180	283
389	181	283
390	181	282
391	181	282
392	182	281
393	182	280
394	183	280
395	183	279
396	183	279
397	184	278
398	184	278
399	185	277
400	185	277
401	186	276
402	186	276
403	186	275
404	187	275
405	187	274
406	188	274
407	188	273
408	189	273
409	189	272
410	190	272
411	190	272
412	191	271
413	191	271
414	192	271
415	192	270
416	193	270
417	193	269
418	194	269
419	194	268
420	195	268
421	195	267
422	195	267
423	196	266
424	196	266
425	197	265
426	197	265
427	198	264
428	198	264
429	198	263
430	199	263
431	199	262
432	200	262
433	200	261
434	200	260
435	201	260
436	201	259
437	202	259
438	202	258
439	202	258
440	203	257
441	203	257
442	204	257
443	205	256
444	205	256
445	206	255
446	206	255
447	206	254
448	207	254
449	207	253
450	208	253
451	208	252
452	209	252
453	209	251
454	209	251
455	210	250
456	210	250
457	211	249
458	211	249
459	212	248
460	212	248
461	212	247
462	213	247
463	213	246
464	214	246
465	214	245
466	215	245
467	215	244
468	215	244
469	216	243
470	216	243
471	217	243
472	217	242
473	218	242
474	218	241
475	219	241
476	219	240
477	220	240
478	220	239
479	221	239
480	221	238
481	221	238
482	222	238
483	222	237
484	223	236
485	223	236
486	224	235
487	224	235
488	224	234
489	225	234
490	225	233
491	226	233
492	226	232
493	226	232
494	227	231
495	227	231
496	228	230
497	228	230
498	228	229
499	229	229
500	229	228
501	230	228
502	230	227
503	231	227
504	231	227
505	232	226
506	233	226
507	233	226
508	234	225
509	234	225
510	234	224
511	235	224
512	235	223
513	236	223
514	236	222
515	236	222
516	237	221
517	237	221
518	238	220
519	238	220
520	239	219
521	239	219
522	240	218
523	240	218
524	240	217
525	241	217
526	241	216
527	242	216
528	242	215
529	242	215
530	243	214
531	243	214
532	244	214
533	244	213
534	245	213
535	246	213
536	246	212
537	247	212
538	247	211
539	247	211
540	248	210
541	248	210
542	249	209
543	249	209
544	249	208
545	250	208
546	250	207
547	251	207
548	251	206
549	251	206
550	252	205
551	252	205
552	253	204
553	253	204
554	254	203
555	254	203
556	254	202
557	255	202
558	255	201
559	256	201
560	256	200
561	257	200
562	257	199
563	257	199
564	258	199
565	259	198
566	259	198
567	260	197
568	260	197
569	260	196
570	261	196
571	261	195
572	262	195
573	262	194
574	263	194
575	263	193
576	263	193
577	264	192
578	264	192
579	265	192
580	265	191
581	266	191
582	266	190
583	266	190
584	267	189
585	267	189
586	268	188
587	268	188
588	268	187
589	269	187
590	269	186
591	270	186
592	270	185
593	270	185
594	271	184
595	272	184
596	272	184
597	273	183
598	273	183
599	274	182
600	274	182
601	275	182
602	275	181
603	276	181
604	276	180
605	277	180
606	277	179
607	278	179
608	278	178
609	278	178
610	279	177
611	279	177
612	280	176
613	280	176
614	280	175
615	281	175
616	281	174
617	282	174
618	282	173
619	282	173
620	283	172
621	283	172
622	284	171
623	284	171
624	285	171
625	285	170
626	286	170
627	286	169
628	287	169
629	287	169
630	288	168
631	288	168
632	289	167
633	289	167
634	290	166
635	290	166
636	290	165
637	291	165
638	291	164
639	292	164
640	292	163
641	293	163
642	293	162
643	293	162
644	294	162
645	294	161
646	295	161
647	295	160
648	296	160
649	296	159
650	296	159
651	297	158
652	297	158
653	298	157
654	298	157
655	299	156
656	299	156
657	300	156
658	300	155
659	301	155
660	301	154
661	302	154
662	302	153
663	303	153
